# panoshader version 2
# Released on Oct 2003.
#remote hostname,remote ip:port,date,time
pclabgw.cse.cuhk.edu.hk,137.189.90.209:64350,10/4/2004,1:05:35
vp170169.nt.uac64.hknet.com,203.169.170.169:1032,11/4/2004,3:23:58
s2.irc.ccu.edu.tw,140.123.103.244:4808,12/4/2004,9:34:15
ip68-108-59-99.lv.lv.cox.net,68.108.59.99:1104,12/4/2004,12:22:20
tradmed.cpums.edu.cn,202.204.177.1:45963,13/4/2004,9:43:58
pcd597161.netvigator.com,218.102.129.161:1046,14/4/2004,0:11:13
250-80.242.81.adsl.skynet.be,81.242.80.250:4325,15/4/2004,4:19:04
AFontenayssB-107-1-5-34.w81-49.abo.wanadoo.fr,81.49.121.34:1120,15/4/2004,7:04:55
wfp2.almaden.ibm.com,66.147.154.3:34418,16/4/2004,9:14:18
crawl11-public.alexa.com,209.237.238.161:35864,17/4/2004,3:48:41
n218103138240.netvigator.com,218.103.138.240:4314,17/4/2004,5:02:06
propel2-cpt.mweb.co.za,196.2.152.66:40282,18/4/2004,17:12:26
wfp2.almaden.ibm.com,66.147.154.3:11145,19/4/2004,5:17:50
pc89213.cse.cuhk.edu.hk,137.189.89.213:3902,22/4/2004,16:18:43
pc89213.cse.cuhk.edu.hk,137.189.89.213:3902,22/4/2004,16:18:46
,208.37.26.100:61000,23/4/2004,1:35:15
,208.37.26.100:40339,23/4/2004,1:36:08
1Cust86.tnt21.lnd4.gbr.da.uu.net,62.188.150.86:1263,23/4/2004,23:03:36
,208.37.26.120:33516,25/4/2004,3:21:15
,208.37.26.120:36000,25/4/2004,3:21:34
cm203-168-218-43.hkcable.com.hk,203.168.218.43:1529,25/4/2004,19:47:25
p1.alias.com,209.167.159.20:32856,27/4/2004,4:59:39
,194.223.200.197:13160,27/4/2004,23:17:45
crawler3.googlebot.com,64.68.86.61:51299,27/4/2004,23:22:59
crawler9.googlebot.com,64.68.87.69:62189,27/4/2004,23:37:36
h246148.resnet.cuhk.edu.hk,137.189.246.148:4573,1/5/2004,2:01:15
pcd174160.netvigator.com,203.218.19.160:4097,4/5/2004,8:04:36
unassigned.webex.com,64.68.115.166:36231,4/5/2004,8:04:43
,218.2.171.134:31522,4/5/2004,16:04:05
,61.149.22.138:1299,5/5/2004,11:05:50
,61.149.22.138:1300,5/5/2004,11:05:00
oberon.cs.cuhk.hk,137.189.91.204:43587,6/5/2004,14:06:33
,218.2.171.21:55211,6/5/2004,15:06:26
,218.2.171.21:63262,6/5/2004,15:06:10
host244-137.pool8248.interbusiness.it,82.48.137.244:3348,11/5/2004,14:27:32
,218.80.153.250:3746,11/5/2004,19:14:14
h189n2fls33o882.telia.com,217.209.38.189:65145,13/5/2004,17:00:11
tide108.microsoft.com,207.46.228.16:29018,15/5/2004,4:04:17
host38-155.pool8251.interbusiness.it,82.51.155.38:1048,20/5/2004,4:45:40
msnbot64061.search.msn.com,65.54.164.61:2287,21/5/2004,18:38:28
,61.157.97.84:32695,22/5/2004,17:26:20
,61.157.97.84:34403,22/5/2004,17:26:30
pcd680252.netvigator.com,218.102.212.252:4020,22/5/2004,19:31:20
,133.82.251.225:35706,24/5/2004,10:41:50
msnbot64061.search.msn.com,65.54.164.61:5729,24/5/2004,23:35:49
as3-3-6.hs.hs.bonet.se,217.215.192.6:1234,26/5/2004,1:26:20
,218.75.42.178:33744,26/5/2004,13:37:44
,218.75.42.178:34634,26/5/2004,13:41:39
msnbot64061.search.msn.com,65.54.164.61:4751,26/5/2004,22:21:04
msnbot64060.search.msn.com,65.54.164.60:41648,28/5/2004,18:55:05
crawl26-public.alexa.com,209.237.238.176:57144,28/5/2004,19:12:13
,211.162.63.171:42850,29/5/2004,21:40:35
nchobo04.telenet-ops.be,213.224.83.135:13007,31/5/2004,20:50:21
pc-guindy.ltsi.spm.univ-rennes1.fr,129.20.25.174:4397,1/6/2004,22:01:03
msnbot64060.search.msn.com,65.54.164.60:10352,3/6/2004,12:03:28
crawl22-public.alexa.com,209.237.238.172:50421,4/6/2004,15:04:35
msnbot64061.search.msn.com,65.54.164.61:63926,5/6/2004,22:05:53
imsbbcf06.netvigator.com,219.76.64.2:11586,6/6/2004,19:06:54
msnbot64061.search.msn.com,65.54.164.61:13164,7/6/2004,11:07:23
,144.214.120.252:24599,7/6/2004,15:07:43
,144.214.120.252:26818,7/6/2004,15:07:13
search2.openfind.com.tw,210.201.54.201:4498,7/6/2004,15:07:31
msnbot64061.search.msn.com,65.54.164.61:53182,8/6/2004,20:08:49
msnbot64061.search.msn.com,65.54.164.61:33550,10/6/2004,13:41:04
12-203-219-15.client.insightBB.com,12.203.219.15:60159,11/6/2004,2:43:11
msnbot64061.search.msn.com,65.54.164.61:13307,12/6/2004,14:25:15
msnbot64061.search.msn.com,65.54.164.61:22955,13/6/2004,20:45:16
202-63-168-40.broadband.isp.exatt.net,202.63.168.40:50777,14/6/2004,15:40:36
202-63-168-40.broadband.isp.exatt.net,202.63.168.40:39384,14/6/2004,15:50:21
202-63-168-40.broadband.isp.exatt.net,202.63.168.40:40619,14/6/2004,15:51:21
msnbot64061.search.msn.com,65.54.164.61:44143,15/6/2004,1:48:06
,210.25.191.144:42416,16/6/2004,19:14:06
arl020469.bgm.link.com,130.210.64.100:1988,17/6/2004,5:04:15
arl020469.bgm.link.com,130.210.64.100:1990,17/6/2004,5:04:15
,220.202.32.18:2853,18/6/2004,23:04:35
crawler13.googlebot.com,64.68.82.141:58975,21/6/2004,13:22:37
crawler11.googlebot.com,64.68.82.45:56565,21/6/2004,16:10:14
crawler15.googlebot.com,64.68.82.201:47482,22/6/2004,14:56:18
n219078109187.netvigator.com,219.78.109.187:1345,22/6/2004,19:05:49
crawler14.googlebot.com,64.68.82.173:50087,23/6/2004,13:49:11
adsl-068-209-146-002.sip.msy.bellsouth.net,68.209.146.2:3652,24/6/2004,10:05:45
crawler14.googlebot.com,64.68.82.169:43014,24/6/2004,13:48:03
msnbot64061.search.msn.com,65.54.164.61:54499,25/6/2004,1:11:42
c-24-10-193-4.client.comcast.net,24.10.193.4:2563,25/6/2004,14:23:32
caracas-0942.adsl.interware.hu,213.178.103.174:1059,25/6/2004,23:52:31
crawler10.googlebot.com,64.68.82.28:52383,26/6/2004,18:30:03
pcd435110.netvigator.com,203.218.225.110:1132,27/6/2004,16:24:33
crawler15.googlebot.com,64.68.82.201:53114,27/6/2004,19:46:17
crawler14.googlebot.com,64.68.82.184:33752,28/6/2004,19:34:38
crawler14.googlebot.com,64.68.82.169:47234,29/6/2004,16:09:53
www.pwsz.chelm.pl,213.25.84.186:60718,30/6/2004,18:36:36
crawler14.googlebot.com,64.68.82.172:61823,30/6/2004,19:35:40
crawler13.googlebot.com,64.68.82.143:39919,1/7/2004,19:01:37
crawler14.googlebot.com,64.68.82.164:41539,1/7/2004,23:01:04
msnbot64060.search.msn.com,65.54.164.60:34982,2/7/2004,3:02:43
,202.64.115.98:2725,2/7/2004,13:02:42
pcd361224.netvigator.com,203.218.151.224:1364,2/7/2004,22:02:01
crawler11.googlebot.com,64.68.82.47:43747,3/7/2004,23:03:46
crawler10.googlebot.com,64.68.82.28:46383,4/7/2004,14:04:16
,221.136.154.51:2140,4/7/2004,14:04:50
,65.54.188.82:58905,4/7/2004,20:04:24
crawler15.googlebot.com,64.68.82.195:41578,5/7/2004,13:05:51
,195.101.59.119:3656,7/7/2004,1:07:48
crawler10.googlebot.com,64.68.82.30:49031,7/7/2004,19:07:08
213-161-45-112.elisa-mobile.fi,213.161.45.112:30859,8/7/2004,5:08:12
crawler15.googlebot.com,64.68.82.189:47510,8/7/2004,16:08:16
,211.207.69.52:3839,8/7/2004,23:08:55
msnbot64059.search.msn.com,65.54.164.59:32042,9/7/2004,6:09:41
,202.5.149.2:58338,9/7/2004,18:09:24
crawler14.googlebot.com,64.68.82.185:57074,10/7/2004,11:15:23
crawler11.googlebot.com,64.68.82.47:61738,11/7/2004,12:32:29
crawler14.googlebot.com,64.68.82.185:41700,11/7/2004,13:01:06
pc90111.cse.cuhk.edu.hk,137.189.90.111:2997,11/7/2004,17:51:51
oberon.cs.cuhk.hk,137.189.91.204:58569,12/7/2004,11:21:42
NK210-202-29-125.vdsl.static.apol.com.tw,210.202.29.125:45747,12/7/2004,12:20:53
crawler13.googlebot.com,64.68.82.143:58575,12/7/2004,12:56:58
150.163-182-adsl-pool.axelero.hu,81.182.163.150:3017,13/7/2004,3:39:15
d213-101-200-106.cust.tele2.fr,213.101.200.106:4635,13/7/2004,8:20:08
crawler15.googlebot.com,64.68.82.189:35867,13/7/2004,13:38:25
crawler14.googlebot.com,64.68.82.172:41854,14/7/2004,16:11:13
crawler14.googlebot.com,64.68.82.178:54840,14/7/2004,21:12:58
crawler11.googlebot.com,64.68.82.47:46061,15/7/2004,20:07:48
,65.54.188.81:24367,16/7/2004,6:35:23
wfp2.almaden.ibm.com,66.147.154.3:30308,16/7/2004,9:12:47
,65.54.188.81:18356,16/7/2004,13:34:36
crawler10.googlebot.com,64.68.82.13:58773,16/7/2004,19:11:23
,65.54.188.81:11494,16/7/2004,20:40:50
crawler14.googlebot.com,64.68.82.184:53380,17/7/2004,17:23:15
msnbot64059.search.msn.com,65.54.164.59:27279,18/7/2004,3:40:01
crawler15.googlebot.com,64.68.82.201:42509,18/7/2004,15:23:50
crawler10.googlebot.com,64.68.82.13:62802,19/7/2004,17:48:06
wwwcache.lanl.gov,128.165.156.80:9077,20/7/2004,6:45:09
crawler15.googlebot.com,64.68.82.195:55474,20/7/2004,15:37:39
crawler15.googlebot.com,64.68.82.201:43630,21/7/2004,17:07:19
crawler15.googlebot.com,64.68.82.189:39901,22/7/2004,17:05:46
crawler14.googlebot.com,64.68.82.182:44327,23/7/2004,11:59:32
cr2.turnitin.com,64.140.49.69:44400,23/7/2004,20:49:41
crawler13.googlebot.com,64.68.82.141:64052,24/7/2004,15:03:58
msnbot64059.search.msn.com,65.54.164.59:57355,25/7/2004,5:44:30
