# panoview 
# Released on June 2001. This csv only logs download after 10 Apr 2004
#remote hostname,remote ip:port,date,time
c3eea6ea8.cable.wanadoo.nl,62.234.110.168:1269,15/4/2004,1:48:32
c3eea6ea8.cable.wanadoo.nl,62.234.110.168:1270,15/4/2004,1:48:32
s3.irc.ccu.edu.tw,140.123.103.245:1884,15/4/2004,2:58:23
,211.157.252.2:41670,15/4/2004,9:13:36
213-133-50-143.isaccess.nl,213.133.50.143:7985,15/4/2004,16:21:45
,218.2.171.237:1247,16/4/2004,10:51:10
,218.2.171.237:1252,16/4/2004,10:51:40
,218.2.171.237:1253,16/4/2004,10:51:55
,218.2.171.46:1614,16/4/2004,11:28:44
,218.2.171.46:1628,16/4/2004,11:30:15
wfp2.almaden.ibm.com,66.147.154.3:38181,16/4/2004,16:03:51
HFA62-0-98-248.bb.netvision.net.il,62.0.98.248:3174,17/4/2004,1:00:42
wfp2.almaden.ibm.com,66.147.154.3:32050,19/4/2004,21:17:55
h238190.resnet.cuhk.edu.hk,137.189.238.190:1280,23/4/2004,14:32:29
h238190.resnet.cuhk.edu.hk,137.189.238.190:1300,23/4/2004,14:34:51
80.58.21.170.proxycache.rima-tde.net,80.58.21.170:56120,27/4/2004,1:31:53
dida.lib.cuhk.edu.hk,137.189.170.236:42272,27/4/2004,19:12:59
pn-206-155.itsc.cuhk.edu.hk,137.189.206.155:4164,28/4/2004,1:40:22
pc137.ammin222.unipd.it,147.162.222.137:4744,28/4/2004,14:45:59
unassigned.webex.com,64.68.115.166:48030,4/5/2004,9:04:34
a213-84-60-137.adsl.xs4all.nl,213.84.60.137:33528,5/5/2004,18:05:43
a213-84-60-137.adsl.xs4all.nl,213.84.60.137:33519,5/5/2004,18:05:14
ip54502642.adsl-surfen.hetnet.nl,84.80.38.66:10044,11/5/2004,3:55:32
host244-137.pool8248.interbusiness.it,82.48.137.244:3348,11/5/2004,14:27:45
213.233.69.189.dial.xnet.ro,213.233.69.189:3229,12/5/2004,1:03:40
pn-206-111.itsc.cuhk.edu.hk,137.189.206.111:1786,12/5/2004,2:50:12
pn-206-111.itsc.cuhk.edu.hk,137.189.206.111:1786,12/5/2004,2:50:17
ustlnx15-n2.ust.hk,143.89.188.2:35631,14/5/2004,18:21:04
,69.156.0.73:64633,18/5/2004,16:20:16
msnbot64061.search.msn.com,65.54.164.61:5747,20/5/2004,19:31:33
